@relation taptap_reviews

@attribute text string
@attribute class {pos,neg}

@data
'开服 用户 NPC 个人 配音 支线 nice 官方 中二梗 suki 目前 喜欢 帕姆酱 惹 NPC 好帅 图 拳击 俱乐部 直接 脑补 弱气 机械师 机油 二三 事 养原 神 内存 有点 紧张 选择 云游 云游 会员 到期 五天 帕姆好 可爱 哎呀呀 谁家 列车长 担心 乘客 每天 给我发 短信 喊 回家 嘿嘿嘿 加个 对局 扫荡 跳过 说 宝箱 音效 太吵 奇怪 游戏 玩 吵 关 背景音乐 关 角色 声音 发现 系统 声音 里 宝箱 音效 打开 宝箱 自带 斯斯声 脑壳 痛 2024 年 月 云游 挤爆 现在 进 云游 排队 卡 闹 闹 闹 2025 年 月 兄弟 退 游回来 玩 几个 月 半退游 回 铁道 原因 飞霄 星核 精好帅 喜欢 好好看 人设 好吃 半退 原因 游戏 战斗 认为 挑战性 卡牌 游戏 剧情 配音 有种 微妙 停顿 拖沓 飞霄 剧情 基本 点开 自动 睡着 翁 法罗斯 丹恒 老师 贴 贴 星核 精 终于 整花活 没有 美少女 三月 七 妈妈 全面 阻拦 丹恒半 默许 半 阻拦 掺和 星核 精 表现 可圈可点',pos
'啥时候 更新 长草 家里 草 三丈 高',pos
'个人 认为 国内 最好 二游 明确 服务 对象 圈地 自萌 认 清楚 形势 认 清楚 分量',pos
'网易 行不行 没开',neg
'手机 应用 商店 下载 赛特 斯 现在 下架 下载 不了 下载 不了 小事 久 号 没',pos
'非常 一款 够 细 丰富 卡牌 运营 实力 强劲 运赢 级别 对手 款 游戏 深深 沉迷 无法自拔 里面 时常 看见 对手 教 玩 阴间 阵容 一句 游戏 中 不断 成长 非常 推荐 想要 追求 极致 爽局 玩家 入坑 游戏 非常 考验 耐心 会 经常 d 不到 牌 一局 不爆 拳套 整局 缺少 想要 装备 一个 时常 危难 关头 塞 垃圾 胖胖 龙 非常适合 治疗 社交 恐惧 心理障碍 相信 一个 人能 成为 比老八 优秀',pos
'吸 火影 玩家 血 新 游戏 策划 大部分 叛逃 直接 忘本',neg
'绝对 良心 好玩 不要 钱 剧情 真心 不错',pos
'剧情 角色 二游',pos
'热身 现在 SS11 赛季 游戏 画面 可爱 肠肠 非常 没 脖子 操作 手感 说 每个 感觉 应该 觉得 近战 武器 打击 感上 感觉 有点 问题 游戏 可玩性 高 出 很多 道具 喜好 自由 搭配 高超 枪法 突入 敌军 大杀 四方 搭配 总览 全局 队友 相互配合 站 最后 成为 队伍 中 辅助 角色 救助 复活 提供 buff 总有 一种 角色 适合 目前 游戏 新 玩家 非常 友好 福利 奖励 不停 总体 游戏 颗星 差点 那颗 维护 运营 方面 每次 赛季 初刚 更新 真的 BUG 满天飞 刚 更新 理解 修复 太慢 有时候 一个 BUG 下个 赛季 修复 影响 游戏 体验 每次 更新 满怀希望 次次 失望 有点 明白 恶意 卡 BUG 官方 举报 没 成功 二 外挂 巡查 方面 提高 没有 录制 相关 视频 进行 举报 一大部分 没有 检测 以前 举报 使用 锁血 瞬移 外挂 功能 账号 现在 未 举报 成功 后面 视频 举报 得以 成功 三 现在 箱子 转盘 占卜 出 东西 越来越 出 频率 越来越快 认为 质量 参差不齐 有种 出而出 感觉 四 希望 官方 更新 至少 发个 公告 最近 更新 知道 更新 没 找到 相关 公告 朋友 老是 问 更新 一头雾水 出 公告 严重 怀疑 官方 摸鱼 BUG 更新 不见 少 更 不再 说 希望 以后 听取 玩家 建议 希望 游戏 越来越 2025 16 更新 评论 现在 已经 半 退游 状态 一个 赛季 可能 活跃 半个 月 目前 PC 端 完全 推荐 入坑 移动 端 勉强 游戏 已经 进入 枯竭 期 涌入 新鲜血液 少 老 玩家 大量 流失 游戏 秒 匹配 现在 几分钟 十几分钟 半个 小时 大量 时间 花费 匹配 早早 淘汰 陷入 无尽 等待 匹配 周末 赛季 初会 多一点 平时 没 游戏 环境 之前 更差 真的 没想到 感觉 官方 好像 努力 封杀 外挂 外挂 更 可能 玩 人少 显得 挂 已经 不演 飞天 遁 瞬移 瞄 层出不穷 游戏 举报 一定 能封 知道 官方 检测 标准 游戏性 玩 太久 没什么 新鲜感 最近 几个 赛季 没有 比较 印象 深刻 模式 武器 道具 福利 看着 割 韭菜 一绝 三种 钥匙 箱子 转盘 直购 双倍 优惠 糖果 直接 标 直购 占卜 种类 繁多 出 频率 快 联动 质量 真的 堪忧 感觉 官方 重点 放 圈 Q 优化 清楚 经常 更新 知道 是不是 优化 赛季 地图 倒 肉眼 优化 感觉 没 必要 没 感觉 有太大 变化 看看 SS20 赛季 毕竟 摸金 模式 期待已久',pos
